"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,399000,389000,399000,398880,399000,398840,395000,399000,385000,375000,370000,359000,350000,350000,350000,350000,350000,359000,358000,350000,349900,346000,339000,330000,329994.5,330000,338000,340000,349500,359900,369000,369900,374900,374999,379000,379900,389000,399000,425000,449900,466890,479000,489000,485000,488944,479000,474900,468000,460000,469800,475000,493000,499900,5e+05,514995,509900,515000,499999,509650,499000,492995,499000,519000,539000,564744,569000,570000,570000,570000,572000,565348,565000,565000,579000,589000,599000,599000,605000,599999,599500,599000,599999,599999,599000,599900,599900,615000,629000,639000,639000,639000,635000,630000,630000,629900,625000,629000,640000,649000,659888,665000,675000,658138,659000,660000,660000,658900,649999,649900,650000,665000,675000,679000,689000,695000,689000,689000
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,244900,249000,249000,249000,245000,245000,239000,238000,225000,229500,225000,214900,201722,2e+05,208000,210000,214900,210000,205000,199900,199000,191500,185000,179900,178150,179000,179900,184900,184900,181900,176900,175000,171200,169900,169900,165000,167500,175000,180000,190000,199900,207500,2e+05,199900,205000,199900,199000,189900,186000,199000,216950,225000,234900,238900,237900,232000,229900,224900,219900,214872,2e+05,215000,229500,233500,239900,239900,239000,235900,232000,229999,229000,224900,224900,235000,249000,255000,259900,259900,254900,249900,249900,249900,245000,238500,239000,250000,264900,269900,274900,277000,275000,269900,269900,269000,260500,254900,259000,274500,280000,289900,294900,294900,289900,288878.5,289000,285000,282000,278850,280000,289900,299000,3e+05,3e+05,299900,299000,292900,289999
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,149900,152834,154750,154900,155000,155000,151150,150000,155000,154900,155000,153000,150000,150000,153990,153950,155000,155000,154900,153500,149900,150000,149900,149900,149900,149900,151900,154000,156525,158900,157900,158950,158000,155667,159900,161990,161829,169900,174000,177000,179500,179950,179990,181900,184900,189900,187000,188000,189950,199900,204990,214737.5,219000,218000,219000,223495,225000,227613,235000,243500,254990,259998,266856,275000,265000,255000,269900,270000,274900,277813,276990,283678,285048,274000,279900,279900,278000,279800,275000,275000,270900,269900,269000,269000,269000,269900,272000,275000,277990,275000,270000,270000,275000,275000,275000,278990,279990,283000,285000,285000,285000,284900,279900,278000,279257,279000,279000,275000,276990,278990,279900,285000,283000,280000,278290,274990,274900
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,179900,175900,174900,169900,165000,159900,154999,152900,149999,149500,149000,144900,142900,140000,139999,139900,140000,142850,142000,145000,145000,149900,150000,152000,159900,164900,171500,179900,180878,185000,185000,189000,189900,195000,199900,201990,209000,217000,224900,229900,237500,239500,239900,235000,235000,237000,238900,239500,239990,241990,249000,249900,252487,255000,250000,250000,253900,255000,255000,257500,259500,260000,268900,275000,278990,277939,269999,278900,279000,279900,283600.5,283900,285000,287000,289000,289900,290000,294900,289995,289000,289000,289000,289000,289500,289900,294990,297415,299900,299999,299900,299900,297900,299000,299900,299900,299900,304900,309900,310000,314900,314900,310000,309500,308445.5,306907,309900,308900,308787,310000,310000,315000,318500,318990,319900,317000,315000,319000
"San Diego County","CA","San Diego-Carlsbad","06","073",5,399000,399000,399500,399990,4e+05,399900,399900,402900,399000,389900,385000,374900,365000,357800,355000,365000,370000,374000,369900,359000,349900,349000,349000,349000,349000,344900,349000,349900,364250,370876,375000,376000,375000,379900,379000,380000,389894,399000,419900,430000,449000,450000,460000,460000,459900,455000,450000,455000,460000,469900,479000,490000,465000,489000,499000,499000,495000,489900,499000,489000,489000,495000,525000,539000,550000,529000,560000,560000,565000,569000,569950,579500,575000,575000,575000,580000,585000,589000,590000,585000,584000,580000,575000,575000,578375,579900,585000,598000,599888,599000,599000,599000,598900,596000,595000,590000,594997.5,599000,609000,619000,650000,650000,649000,648975,649000,636508,635000,635000,635000,639000,642900,650000,659500,655000,649900,650000,655900
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,550000,529000,510000,519000,519900,520500,509900,525000,499000,489900,495000,474000,465000,459000,459900,468500,469900,470000,469000,460000,455000,449000,435000,427500,429000,434900,445000,450000,474900,484900,490000,499000,497900,499000,499900,5e+05,509000,535300,559000,575000,598944,599900,6e+05,599900,599950,599900,6e+05,599900,599000,6e+05,615000,625000,629900,639000,639000,640000,649500,647500,649000,639999,639000,649000,660000,675000,689500,699000,690000,689900,695000,695000,689000,697000,689995,698400,699000,7e+05,715000,719000,718939,718888,719000,721500,720000,724900,725000,735000,749888,759000,760000,755000,759000,750000,769000,758729,760877.5,765000,779000,789900,790000,799000,799250,799000,799000,788000,788000,778000,774000,774990,769900,777800,780000,790000,798000,798000,795000,795000,798000
"Kings County","NY","New York-Newark-Jersey City","36","047",7,459000,469000,459000,459000,450000,450000,459000,469000,449500,450000,450000,450000,449000,429000,439000,439000,439000,430000,429000,429000,429000,429000,429000,434000,439000,440000,439999,450000,468000,459000,450000,448881.5,439000,439000,435000,429000,428500,433500,445000,449000,455000,449000,430000,439000,449000,449000,475000,474237.5,489000,479000,499000,499000,499000,499000,525000,524800,510000,549000,565000,558000,595000,589000,6e+05,619000,649000,669000,671060,650000,675000,679000,665260,675000,699000,719500,699000,749000,719000,725000,725000,749000,758500,765000,765000,769000,766500,779500,789000,789000,779000,785000,775000,760000,769000,769999,769000,749800,750000,729000,739000,749000,758750,750000,749000,739999.5,748000,748000,734999,730000,725000,728000,749000,750000,769000,768444,749000,749000,750000
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228000,235000,248900,250000,250000,254900,259000,259000,269900,249900,249900,254900,270000,270000,274900,279000,275000,279000,279893.5,280000,279270,280000,289000,289000,310000,315000,312995,315000,320000,320000,299000,299000,325000,329000,335000,339900,359000,365000,369000,369900,360000,375000,376900,375000,379000,378000,379900,379000,379900,380000,380000,382500,380000,380000,385000,389000,389900,385990,389900,385000,390000,395000,390990,393005,395000,396900,399000,399000,399000,395000,397000,395000,399000,399900,399000,399900,399000,399000,399888,399900,399000,399000,399000
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,159900,159990,164919,169000,168000,169000,165000,159900,160000,160000,159500,149900,146900,147990,149900,149900,154900,155000,154900,150000,149900,149900,149500,147990,144900,149000,149900,150550,159900,161525,158995,157000,154900,157990,159900,160000,159900,161990,175000,180000,185000,184900,180000,179900,179900,179900,179900,179900,179500,184500,190000,198000,209900,197000,199000,212950,199900,199900,2e+05,210000,215000,225000,239000,240000,243625,239900,229000,230000,237000,240000,245000,245000,244000,244000,265000,274970,279900,279900,275000,275000,279000,282900,279950,280000,282000,295000,296990,310000,319900,314900,307000,299900,299900,3e+05,299997,299900,299600,309900,310000,318000,325000,319900,314900,299969,3e+05,303000,309000,299900,299900,305000,312990,325000,325000,324900,315000,309900,310000
"Queens County","NY","New York-Newark-Jersey City","36","081",10,409000,4e+05,375000,375000,375000,372620,365000,375000,388000,389000,379000,379000,375000,359000,363000,358000,355000,355000,349000,339000,329000,319000,319000,319000,319000,318000,299000,305000,299000,304900,315000,305000,299000,299000,3e+05,299500,299000,309000,299000,299000,310000,310000,319900,325250,329894,335000,339000,339000,338000,330000,349000,349999,349990,355000,359000,359000,368000,359444,369000,369000,375000,381500,389000,379999,389000,399000,399999,410000,415499.5,429000,424999,429000,440000,449999,450000,457444,460000,470000,474000,475000,475000,475000,471250,475000,479999,488000,490000,499000,519000,525000,525000,525000,528997,529999,529900,529000,528000,510000,509000,509999,545000,550000,556500,550000,558800,560000,558000,559000,558000,555000,559000,569000,584999.5,589000,595000,589000,589000
"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",11,229900,234500,234000,234900,234900,232000,229000,229900,229900,229500,229900,225000,224900,219894,220000,220000,220000,219900,215000,215000,215000,219000,219000,219900,219900,219900,219900,222500,225000,225000,227790,230000,235000,241000,250000,259000,264900,269900,279000,285000,295000,299000,3e+05,305000,315000,315000,320000,324900,325000,326995,329000,331537.5,335000,335000,334500,334900,330000,329900,330000,335000,335000,339000,339900,342000,349000,349500,349000,348761,349500,350000,354000,355000,358900,359000,360000,365000,366010,369000,369900,367900,365000,368500,369000,370000,375000,375000,378000,379000,379990,384900,385000,384950,387950,389900,392490,395000,399000,399000,399000,4e+05,409900,410000,410000,409900,410000,410000,409000,405000,408000,409900,410000,410000,412990,416900,415000,411080,414990
"San Bernardino County","CA","Riverside-San Bernardino-Ontario","06","071",12,174500,170000,174900,179000,179900,180000,179900,179900,179000,175000,172000,168894,165000,165000,168894,169800,170000,174900,174900,174900,173000,170950,168000,165000,164900,163200,165000,169900,172500,177600,179900,185000,184900,185000,185000,185000,185000,189900,199000,200500,210000,220000,229900,235000,240000,240000,235000,235000,239500,242000,249900,250000,259000,265000,265000,265000,265000,264900,265000,260000,268000,264900,269900,270000,275000,280000,284900,285000,285000,289000,288000,289000,289000,289900,294900,297000,299900,3e+05,309000,304900,299910.5,299900,299900,299900,299900,3e+05,309900,314900,319000,318900,319000,319000,320000,320000,320000,319900,319999.5,325000,329999,332000,339000,340000,345000,345000,344780,339500,339000,337900,339900,340000,345000,349000,349900,349999,352000,350000,350000
"Clark County","NV","Las Vegas-Henderson-Paradise","32","003",13,156900,159000,156000,154900,150000,149900,145000,140000,140000,139900,138500,130000,130000,130000,129900,129000,127900,126440,125900,128000,127000,125900,125000,125000,125000,125900,129900,130000,140000,145000,139000,135000,136900,139900,139000,144900,148990,149900,150000,155000,159990,165000,160000,175000,179500,179999,182000,179948,179900,180000,185000,189900,190000,194900,194900,2e+05,205000,205000,205000,205000,205000,209990,214900,219000,224900,224900,225000,225000,229000,229000,229900,229900,229000,225000,229995,235000,239888,240000,244900,245900,249900,249900,249990,250000,255000,259000,260000,267000,269999,275000,279900,279900,284330,285000,286000,289900,290000,294900,294900,299000,299888,299900,3e+05,310000,309998,309000,308999,305500,304888,3e+05,3e+05,304999,307945,309900,309500,308000,308000
"King County","WA","Seattle-Tacoma-Bellevue","53","033",14,379950,377500,375000,375000,375950,375000,370000,369950,360000,359000,349999.5,345000,329000,324950,324900,319900,319950,319950,320000,319950,318000,3e+05,299900,289950,289000,299000,309950,329500,341900,349950,350000,350000,355000,350000,349950,339950,334970,349950,362500,379000,396950,399950,4e+05,399950,399950,399950,390000,380000,379000,384250,393440,399950,4e+05,425000,425000,424950,424950,413562,399950,395000,399000,4e+05,424999,440000,449950,452500,450000,454700,459000,459950,459950,459950,459900,469000,480000,499000,5e+05,514950,5e+05,499900,499999,507500,504950,499995,5e+05,525000,540000,549996,569950,575000,575000,559950,565000,590000,589950,580950,590000,600495,635000,640000,649750,649995,649000,637950,638888,637995,625000,621950,625000,635950,649999,659000,659625,650000,648000,630000,635000
"Wayne County","MI","Detroit-Warren-Dearborn","26","163",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000,119900,124900,125900,129000,124900,124500,119900,119000,115000,114999,99900,107900,116000,124900,124900,120000,119000
"Tarrant County","TX","Dallas-Fort Worth-Arlington","48","439",16,152900,153900,155000,155900,159550,158000,156900,155000,157000,155000,155000,151995,149996,149900,150290,150000,154900,156990,156000,157775,158175,159900,159000,158900,157000,159000,159695,159990,161994.5,164500,163500,162500,159900,160000,160000,160990,163336,167990,169900,173990,177900,179900,177990,176900,175500,175000,175000,175450.5,177900,183611,185729,189900,194000,189000,190000,195000,195000,196900,199000,205000,209990,208990,219900,220000,215000,213995,212000,210000,210000,211882,214900,215000,218990,216105,224000,229000,230000,235000,235000,235000,238000,239900,239500,236900,239900,245000,249900,250000,256000,259000,255000,250000,250000,251160.5,252999,255000,256347.5,260000,267412,270000,274900,274000,269900,265000,265000,266000,265000,265490,269000,269900,270914,275000,276990,279000,275424.5,275000,274470
"Santa Clara County","CA","San Jose-Sunnyvale-Santa Clara","06","085",17,592500,596250,589000,599000,595000,599000,599000,599000,575000,564062,548800,525000,515155,539000,549000,559000,575000,580000,579000,569000,565000,550000,544800,514900,514500,529000,547500,560650,579000,599357.5,620000,610000,606500,619000,624900,619500,619940,659000,682500,699000,703875,699900,699000,689000,688000,679999,679888,679950,685000,709444,738694,748000,749999,749800,749000,740000,745000,738000,724250,701038,729000,778000,799000,835000,849894,850000,849999,848000,849000,849000,839888,832349,840000,875000,905450,925000,922900,9e+05,899888,899000,899000,898880,876000,859888,849975,889000,929944,939000,968400,953350,969950,988000,996500,999999,999999,1005880,1010994.5,1099000,1149000,1172475,1190000,1174688,1149000,1124880,1120000,1100000,1095000,1050000,1050000,1095000,1128800,1149000,1150000,1138000,1099000,1088880,1099956
"Broward County","FL","Miami-Fort Lauderdale-West Palm Beach","12","011",18,247500,249000,239500,235000,229900,225000,225000,220000,210000,199000,205000,199900,199500,198900,199849.5,192638.5,199000,2e+05,209900,215000,214000,205000,204900,199900,213800,224900,236800,220000,210000,219900,227997.5,224900,219000,193950,197000,189000,199990,213400,214961,220000,229000,225000,227000,228000,225000,215000,239000,221000,219900,220000,225000,219900,220000,229900,225000,224738.5,223999,222970,229000,225000,229000,229250,243000,239500,235000,244900,259900,259900,265000,263000,259900,259000,255000,250000,250000,269000,269900,275000,279900,280000,285000,286500,287900,280000,279000,280000,285000,289000,295000,299000,299000,298000,299000,294900,295682,289999,289900,295000,298000,299000,299900,308474,309900,305000,3e+05,305000,3e+05,3e+05,299900,299900,299900,3e+05,309900,314900,315000,312000,310000
"Bexar County","TX","San Antonio-New Braunfels","48","029",19,150000,153500,154900,155000,159000,160000,159785,156000,159000,160000,159900,158600,159900,159900,159995,159900,162000,164900,164377,159950,155900,157000,156500,158933,157900,159240,159900,163364,165000,168900,164995,165000,165000,165445,166900,167000,169122.5,175000,178990,180000,184000,187500,186450,188500,190000,195000,193000,198000,199900,208900,210000,213080.5,220000,214900,214000,220000,216000,214900,219000,224900,228125,230382,227990,239900,238992.5,244900,249900,249900,250995,246990,247500,249900,250900,240000,246495,248000,244900,248997.5,249000,247650,242000,248995,247500,242000,245000,249900,255600,260000,260990,262990,259950,259500,259900,249808,249000,249000,248499.5,245000,244500,248490,249900,250000,250000,249000,249000,247000,248500,249900,250000,253000,251990,255000,254467.5,251995,250000,249000,247990
"New York County","NY","New York-Newark-Jersey City","36","061",20,850000,830000,838250,825000,825000,8e+05,799000,795000,795000,795000,795000,799000,799000,699000,8e+05,850000,850000,870000,875000,875000,895000,910000,925000,930000,925000,965000,949000,955000,980000,989000,950000,949000,960000,975000,995000,995000,995000,979000,1050000,1050000,1050000,1095000,1022500,1075000,1050000,1095000,1175000,1179000,1224500,1199000,1195000,1195000,1250000,1295000,1300000,1300000,1367000,1449000,1495000,1550000,1550000,1595000,1595000,1625000,1650000,1625000,1650000,1687500,1750000,1750000,1800000,1875000,2075000,1985000,1795000,1895000,1790000,1750000,1750000,1750000,1750000,1750000,1752500,1780000,1780000,1799000,1795000,1795000,1790000,1780000,1775000,1739000,1706400,1726000,1749000,1749000,1728000,1595000,1519500,1575000,1595000,1551000,1525000,1500000,1545000,1525000,1550000,1580000,1575000,1550000,1550000,1555000,1570000,1540000,1495000,1495000,1495000
"Philadelphia County","PA","Philadelphia-Camden-Wilmington","42","101",21,141900,149900,159900,156900,159900,159900,159900,150000,156900,154799,150000,149000,145000,145000,149900,149900,150000,150000,149900,149900,145000,144900,144900,139900,139900,144900,149900,149900,149900,147900,144900,139900,135000,135000,132000,129900,129900,134900,140000,149000,150000,153900,149000,140000,142700,144900,144900,139900,139500,139900,149900,159900,159900,159900,154900,149900,149900,149900,149900,145000,139900,145000,154900,160000,165000,164900,159900,154999,154900,155000,155000,149900,149000,149900,158000,165000,169000,169900,167000,160000,164899,169000,164900,159900,164900,167500,175000,185750,189900,189900,189900,185900,195000,199900,199900,189999,189900,195000,199900,209000,219000,224900,220000,219000,215000,215000,214900,214900,210000,215000,224900,234900,239900,239900,235000,229900,235000
"Alameda County","CA","San Francisco-Oakland-Hayward","06","001",22,399900,410000,419000,429888,439000,439000,430000,429950,427405,419500,404925,388250,379500,370000,384609,378000,388000,385000,389900,392600,389900,379000,359800,349730,349900,359900,369000,375000,399900,419000,424900,425000,427000,447100,470000,438000,439000,460000,485000,518000,529995,539850,530000,525000,549000,539000,509444,520000,525000,549000,549999,579000,599000,599000,599000,589000,579000,580000,559950,549919,565000,599000,625000,630000,650000,660000,665000,649000,649894,650000,649900,649900,649000,650000,698888,718000,720000,718000,715000,699000,699991.5,699000,699000,699000,699999,725000,749000,750000,775000,772000,750000,753995,759000,760990,765990,750000,749000,765000,799000,799999.5,828888,838000,825000,814950,818000,799999,799865,799000,799000,799884,828888,840990,849000,849000,825000,825000,827880
"Middlesex County","MA","Boston-Cambridge-Newton","25","017",23,359900,365000,369900,375000,379900,379000,369900,369000,364900,360000,359900,349000,340000,342000,349900,359900,369900,370000,365000,359900,360862.5,359900,349900,339000,340000,357995,369900,385000,385000,379000,369900,363165,369900,369900,369900,367495,365000,375000,389000,399000,399900,409900,405000,389900,399900,399999,399900,391000,389900,404947.5,419250,429900,439900,439897.5,429900,419900,429900,434900,434900,425000,429000,429900,449900,460000,469900,474900,460000,449000,450000,459000,450000,449900,459000,475000,489900,499900,499904,499900,499000,489900,499900,502830,509000,513250,510000,529900,549900,559000,558000,559900,549900,545900,549900,554900,549999.5,549900,549900,549900,574900,575000,589950,589900,575000,559000,559900,550000,559900,557997.5,550995,565000,585000,599000,599900,599900,599000,584900,589900
"Suffolk County","NY","New York-Newark-Jersey City","36","103",24,389000,379990,389000,389000,399000,399000,399000,399000,399000,398000,395000,389000,379000,375000,379915,385000,385000,380000,385000,387747.5,385000,389000,389000,385000,379990,389000,379900,389990,389000,379990,389000,389900,390000,399000,389000,384900,379990,389000,395000,395000,399000,399000,399000,399900,410000,412000,419000,419000,425000,389000,419000,424000,429000,429990,434900,439000,442500,449990,429000,450000,439000,439000,430000,429000,439000,439990,439000,439000,439999,439990,439000,439900,448250,439990,449000,449000,449900,450000,459900,459500,475000,475000,479000,479000,475000,495000,489000,489999,495000,499932.5,499000,499000,499000,499000,499000,499990,499000,499999,499000,499990,499999,515000,519000,515000,525000,524999,524990,524990,515000,521670.5,525000,549992.5,539000,539900,539000,539000,539990
"Sacramento County","CA","Sacramento--Roseville--Arden-Arcade","06","067",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,299900,303400,314900,315000,314328.5,310000,310000,315000,315945,315000,319969,319500,325000,329900,335000,335000,335000,335000,330000,329950,329000,325000,324997,329000,339900,349900,348990,348840,349844,349900,349900,349900,349900,349844,349950,359000,359900,365000,370000,375000,375000,375000,375000,372500,374000,370000,369950,369950,379000,385000,385000,389900,394500,395000,389900
"Bronx County","NY","New York-Newark-Jersey City","36","005",26,347000,330000,329450,329000,329000,325000,321300,329000,325000,319000,319000,305000,3e+05,299000,319000,319000,319000,315000,319000,319000,309000,309000,299000,299000,299000,299999,299000,299000,3e+05,299000,299000,299000,295000,283000,299000,289000,295000,299000,299000,280000,299000,299000,299000,310000,315000,325000,319450,319000,349000,369000,369000,359000,3e+05,308500,329000,335000,349000,325000,329000,349694,329000,349999,354900,335000,350000,379000,379000,375000,359000,344500,325000,329000,329000,329000,325000,319000,339000,349000,349000,365000,379000,360000,349999,369000,375000,360000,328500,319250,316749.5,320000,325000,329000,325000,329000,329000,329000,309000,3e+05,324000,320000,350000,369500,379000,379000,387500,380000,379000,383600,379000,395000,395000,399000,399000,395000,399000,390000,385000
"Nassau County","NY","New York-Newark-Jersey City","36","059",27,483000,489000,479900,479999,489000,479000,479000,479000,479000,479000,469999,468000,459000,449000,455000,459000,459000,455000,449000,445000,439000,439000,429788.5,429000,428876,429000,429000,439000,439000,439000,439000,435000,429500,429000,424900,419000,419000,429000,429000,444000,449000,449000,449000,445450,449000,440000,449000,449000,445000,449000,449000,463000,475000,479000,479000,469000,469000,469000,469000,469000,479000,475000,479000,479000,489990,499990,499999,499000,499638.5,499000,499000,499000,499000,499000,515000,529000,534999.5,539000,548000,545000,539900,549000,549000,549000,539000,539000,548000,549900,575000,579000,575000,569000,569000,569000,569000,569000,559000,569999,579000,598000,599999,618000,619000,599999,599000,599000,599000,599000,599000,599000,619000,635000,639000,639000,639000,630000,629000
"Palm Beach County","FL","Miami-Fort Lauderdale-West Palm Beach","12","099",28,250000,250000,250000,249000,245000,239900,234900,235000,225000,224900,229000,219500,217900,210000,214900,209900,215000,209900,203000,209900,210000,210000,202000,207500,209888,199000,199900,199900,199900,199900,2e+05,2e+05,199900,199900,210000,217026,225000,239000,245000,249900,249900,249900,239500,252000,260000,265000,269900,270000,274900,275000,275000,275000,275000,283000,279000,279000,279000,275000,280000,289500,284900,287000,295000,285000,284900,289000,292000,294000,295700,299000,299900,299800,299990,305250,309900,316000,319000,320000,319900,319900,325000,329000,325000,325000,325000,329000,330000,339000,340000,340000,345000,340000,349000,340000,345000,344945,345000,349000,345000,349000,349500,349500,345525,344000,347990,345000,349000,349900,349000,349900,349900,354999,350000,350000,349900,349900,349900
"Cuyahoga County","OH","Cleveland-Elyria","39","035",29,114000,117450,119000,122900,121900,119920,119900,119900,119487.5,117000,115900,110000,109900,109900,109900,109900,114000,114775,114900,114000,112500,109900,109900,105900,104925,108000,109900,109900,112900,112900,110000,110000,109900,107000,109000,104900,99900,1e+05,105000,109900,114900,115000,114900,110000,109900,109000,106900,102500,102000,105000,110000,115000,119000,119900,119900,119000,114994.5,114000,110900,109410,109900,112000,115900,119900,119900,120000,119900,118500,115900,114900,114900,110000,109900,114900,119900,124900,127500,129500,129000,125000,124900,124900,119900,119000,118500,119900,127900,129900,139000,139900,139900,139900,138900,136500,134900,129900,130000,134900,139900,145000,149900,150000,149900,149900,149900,147825,144900,142500,141000,145000,150000,159900,160000,163000,159900,154900,150000
"Hillsborough County","FL","Tampa-St. Petersburg-Clearwater","12","057",30,174900,169900,169548.5,169500,167000,165000,159900,159000,159900,155000,155000,149900,149500,149000,149981,149985.5,155000,157990,158490,159000,156990,160000,159900,155000,157900,159000,161710,163990,165990,169900,173990,175000,179000,179900,179990,180000,181900,189900,194900,198995,199900,2e+05,205995,199900,199970,199000,194999.5,189900,190490,195000,199900,199990,199500,184499.5,207990,208999,209000,208890,211990,209000,216945,219000,219900,217000,219900,219900,220000,229990,234900,238500,239900,239900,239990,236490,239900,242600,239900,239900,239900,234000,233000,235000,235000,234000,239900,245000,249000,249900,255000,254990,253000,250000,258990,253900,254545,255000,254990,255990,259900,264290,269900,269990,269500,265000,262990,260000,260000,259900,259990,265000,269445,274000,270095,275000,275000,274500,274900
"Allegheny County","PA","Pittsburgh","42","003",31,129937.5,139000,139900,139900,144900,144900,142900,139900,139900,137450,135900,134900,134900,135500,136200,135000,138000,139000,136500,134900,135000,134900,134900,134000,129900,134900,134900,137500,139900,139900,134900,135000,134900,132900,134900,132900,134900,139500,141000,146850,149900,149750,149850,145000,145000,139900,139900,139900,139900,142900,145000,154000,159000,159900,155000,150000,149900,156900,149900,149900,149900,150000,155000,159999.5,165000,169900,165000,159900,159900,155900,154900,149900,149900,149000,154900,160000,165000,169000,165000,164500,162900,159900,159900,155000,154900,159900,165000,174900,179900,179900,179900,177000,177000,175000,177900,172888.5,176500,179900,185000,190000,194900,197000,189900,189678,184900,185000,180000,179900,179900,179900,189900,194900,199900,199900,198000,195000,195000
"Oakland County","MI","Detroit-Warren-Dearborn","26","125",32,164800,162900,160000,159900,159900,159000,154900,150000,150000,149900,149900,140000,139250,135000,135000,134900,139900,143100,144900,145000,144900,140000,140000,137500,139900,139900,149000,149900,152900,159900,164500,164900,164900,164900,169900,164900,169000,176000,183500,190000,199900,209900,219900,215000,218000,214000,210000,205000,209900,214900,220000,235000,245000,249900,249800,249000,245000,240000,239900,239900,239000,248000,249900,253890,255000,259900,254900,250000,250000,250000,255000,255000,250000,259900,266990,278890,284472,286990,285000,282000,280000,284900,289000,289900,285000,296250,295900,309500,313450,310000,310000,300945,3e+05,299900,299900,299900,299900,305000,313800,322999,319900,319900,314900,309900,299999,299900,299000,299000,297950,299900,309800,319900,319900,319000,312500,309000,299999
"Franklin County","OH","Columbus","39","049",33,139900,139900,139900,139900,139900,139500,135500,136900,136000,138000,134000,129900,124900,127850,128900,129900,134000,135000,135000,134000,129900,133000,129900,122652.5,120237.5,122900,124900,129900,132900,132100,129900,128500,126990,125000,120000,119900,117900,119900,124900,128500,132000,134000,134900,134450,132450,132900,133837.5,129900,128661,129794.5,135900,139900,147900,152000,153800,149900,149900,149000,145315,143990,143825,146500,150000,156900,169500,169900,169900,169900,169900,165000,165900,159900,159999,165000,168900,179500,182500,184900,184900,179900,180000,179900,179800,174900,173945,179000,189994.5,199900,201500,204900,204900,2e+05,199900,210000,199900,199900,205000,205990,206900,216500,224900,224900,224900,219900,214900,212500,209900,209900,209900,219900,229900,235000,236900,235000,234900,227995,225000
"Hennepin County","MN","Minneapolis-St. Paul-Bloomington","27","053",34,237950,234900,229900,225000,229000,229000,220000,218500,209900,204900,199900,189900,179900,183950,184900,189900,195000,199900,199900,199900,199900,199900,190000,188500,179900,185000,189900,199750,199970,209900,205450,205000,2e+05,203450,217000,210000,209900,219900,225000,235000,240000,249900,249900,249900,249900,249900,243000,239000,235000,240000,250000,259900,269900,268000,269900,269900,269900,264900,264900,265000,269900,279900,289900,289000,290750,295000,299900,299000,289900,295450,299000,299900,3e+05,309000,309900,305000,3e+05,299900,299900,299700,309000,314250,319500,324990,334890,349900,340000,339900,339900,339900,339900,329900,329900,330000,338943,350000,364900,386900,370000,365000,357573.5,350000,350000,349900,344900,348990,352900,364900,369900,374900,374900,365000,359990,359900,350000,349900,349900
"Orange County","FL","Orlando-Kissimmee-Sanford","12","095",35,172000,169900,168000,165000,164900,158000,153000,155000,159000,154900,154900,149900,149900,145000,149900,149900,150000,155000,154900,154000,150000,150000,149000,144900,145500,145000,149900,153900,158200,162500,165900,166980,175000,179277.5,179000,188700,190000,199000,200290,215000,219900,224900,225000,221750,225990,232990,229000,225000,229000,235000,240000,235000,225000,219900,239500,240000,239900,239900,240000,239877,240000,239900,239000,236900,240000,247000,249000,265000,267900,265000,268000,269900,275000,269000,274900,280615,269900,269500,274900,269900,275000,273000,270000,274950,289900,292990,298000,3e+05,308515,308640,309000,309000,314999.5,309900,310000,310000,310000,314500,318850,320990,324000,322990,323000,319999,319000,315000,318000,314990,313990,317228,320000,325000,322900,324899,327500,325000,325000
